index,season,episode,total_lines,andy,angela,charles,clark,creed,darryl,david wallace,deangelo,dwight,erin,gabe,holly,jan,jim,jo,karen,kelly,kevin,meredith,michael,nellie,oscar,other,pam,pete,phyllis,robert california,roy,ryan,stanley,toby
109,6,21,359,35,17,0,0,1,10,0,0,34,16,0,0,0,33,0,0,4,7,1,74,0,20,64,31,0,6,0,0,5,1,0
110,6,22,263,25,5,0,0,0,3,0,0,17,49,23,0,0,8,0,0,5,20,9,46,0,6,8,28,0,3,0,0,5,0,3
111,6,23,326,3,3,0,0,1,4,0,0,45,9,15,0,0,37,0,0,28,8,0,86,0,9,41,27,0,4,0,0,4,2,0
112,6,24,308,30,0,0,0,2,26,0,0,38,3,4,0,0,14,0,0,7,0,1,92,0,1,41,42,0,0,0,0,4,3,0
113,6,25,326,41,17,0,0,4,4,0,0,36,11,6,0,0,21,0,0,5,6,3,82,0,3,31,30,0,8,0,0,11,2,5
114,6,26,245,17,4,0,0,2,6,1,0,19,4,5,0,0,13,43,0,5,7,0,67,0,2,17,17,0,5,0,0,2,2,7
115,7,1,239,16,3,0,0,4,5,0,0,21,7,11,0,0,22,7,0,5,5,3,57,0,8,22,25,0,7,0,0,3,5,3
116,7,2,266,12,4,0,0,1,4,0,0,48,4,17,0,0,34,0,0,6,0,0,31,0,7,15,39,0,3,0,0,3,3,35
117,7,3,228,48,16,0,0,2,11,0,0,17,19,0,0,0,19,0,0,2,0,1,43,0,1,26,17,0,4,0,0,0,2,0
118,7,4,313,40,2,0,0,2,8,0,0,40,4,3,16,16,4,0,0,5,10,7,88,0,7,43,8,0,5,0,0,1,4,0
119,7,5,390,38,2,0,0,2,23,0,0,56,2,0,0,0,59,0,0,3,12,15,85,0,16,51,10,0,8,0,0,3,5,0
120,7,6,284,16,5,0,0,3,26,0,0,14,7,14,0,0,27,0,0,5,19,1,59,0,8,34,24,0,5,0,0,6,7,4
121,7,7,286,25,8,0,0,0,2,0,0,16,9,2,0,0,38,0,0,2,4,0,74,0,2,54,33,0,5,0,0,6,3,3
122,7,8,271,26,9,0,0,4,6,0,0,26,40,18,0,0,17,0,0,13,9,0,54,0,7,3,23,0,12,0,0,3,1,0
123,7,9,302,10,19,0,0,3,10,0,0,24,7,7,0,0,21,4,0,5,9,2,67,0,5,18,28,0,2,0,0,54,7,0
124,7,10,305,23,3,0,0,2,13,0,0,44,9,1,0,0,27,0,0,8,8,2,56,0,25,22,46,0,3,0,0,7,6,0
125,7,11,593,28,26,0,0,4,24,0,0,36,18,6,50,0,48,0,0,14,14,10,130,0,12,50,69,0,13,0,0,11,5,25
126,7,13,319,21,7,0,0,13,21,0,0,34,21,2,19,0,8,0,0,10,19,1,75,0,3,19,31,0,9,0,0,6,0,0
127,7,14,282,51,0,0,0,2,3,12,0,19,25,7,12,0,23,0,0,12,9,0,36,0,14,26,18,0,3,0,0,8,2,0
128,7,15,309,13,1,0,0,0,9,0,0,26,14,25,30,0,32,0,0,9,7,3,43,0,12,30,36,0,10,0,0,6,3,0
129,7,16,346,37,9,0,0,1,15,0,0,24,38,21,38,0,23,0,0,1,13,1,71,0,15,5,24,0,3,0,0,6,1,0
130,7,17,150,2,0,0,0,1,1,0,0,4,1,0,15,2,6,0,2,1,3,0,61,0,2,42,6,0,0,0,0,1,0,0
131,7,18,312,29,1,0,0,0,4,0,0,41,10,1,33,0,37,0,0,3,13,3,57,0,1,37,36,0,1,0,0,4,1,0
132,7,19,290,17,1,0,0,0,10,0,0,31,0,1,47,0,24,0,0,3,18,3,73,0,7,10,32,0,3,0,0,9,1,0
133,7,20,236,11,4,0,0,0,8,0,78,10,10,4,0,0,10,0,0,5,4,1,68,0,5,4,8,0,2,0,0,1,3,0
134,7,21,257,4,2,0,0,1,2,0,54,12,12,2,0,0,23,4,0,0,6,6,83,0,5,12,15,0,3,0,0,6,3,2
135,7,22,325,24,12,0,0,2,3,0,26,14,12,10,6,0,18,0,0,3,11,6,115,0,6,5,19,0,18,0,0,3,7,5
136,7,23,265,9,4,0,0,0,8,0,90,20,3,8,0,0,40,0,0,15,13,0,0,0,2,9,24,0,4,0,0,15,0,1
